Key,Producer,Product,Place,Region,Country,Grape,Vintage,Category,ABV,BTG,List Position,Bottle Price,Wholesale Price,BTG Price,BTG Bottle Price,Beer Price,Cider Price,Spirit Price
smith-cross-jamaican-rum,Smith & Cross,Jamaican Rum,,,Jamaica,,,Rum,57.0,,,$47,$17.17,$17,$58,$35,$26,$5
morat-pouilly-16,Domaine Morat,Terroirs de Vergisson,Pouilly-Fuissé,Burgundy,France,Chardonnay,2016,White,,,50,$49,$18.17,$18,$61,$37,$28,$5
elijah-craig-bourbon,Elijah Craig,Small Batch Bourbon,,Kentucky,,,,Bourbon,47.0,,,$49,$18.10,$18,$61,$37,$28,$5
buffalo-trace-bourbon,Buffalo Trace,Kentucky Straight Bourbon,,Kentucky,,,,Bourbon,45.0,,,$49,$18.10,$18,$61,$37,$28,$5
liquid-farm-vogelzang-18,Liquid Farm,Vogelzang Vineyard,Santa Barbara,California,USA,"Mourvédre,Grenache",2018,Rosé,,,10,$50,$18.50,$18,$62,$37,$28,$5
lady-sunshine-sb-coquelicot-18,Lady of the Sunshine,Coquelicot Vineyard,Santa Ynez,California,USA,Sauvignon Blanc,2018,White,,,15,$52,$19.50,$19,$66,$39,$30,$5
carpano-puntemes,Carpano,Punt e Mes,,,Italy,,,Vermouth,16.5,,,$52,$19.50,$19,$66,$39,$30,$5
pueblo-anejo,Pueblo Viejo,Añejo,,,Mexico,,,Tequila,40.0,,,$52,$19.49,$19,$66,$39,$30,$5
alessio-chinato,Alessio,Vino Chinato,,,Italy,,,Digestivo,17.0,,,$53,$19.90,$19,$67,$40,$30,$10
square-one-organic-vodka,Square One,Organic Vodka,,California,,,,Vodka,40.0,,,$53,$20.00,$20,$68,$40,$30,$5
sazerac-rye,Sazerac,Straight Rye,,Kentucky,,,,Rye,45.0,,,$55,$20.98,$20,$71,$42,$32,$6
lofi-dry,Lo-Fi,Dry Vermouth,,California,,,,Vermouth,16.5,,,$56,$21.40,$21,$72,$43,$33,$6
tolaini-valdisanti-14,Tolaini,Valdisanti Toscana,,Tuscany,Italy,"Cabernet Sauvignon,Sangiovese",2014,Red,,,170,$56,$21.50,$21,$73,$43,$33,$6
gaucher-brut-nv,Bernard Gaucher,Brut Réserve,,Champagne,France,"Pinot Noir,Chardonnay",NV,Bubbles,,,10,$57,$22.00,$22,$74,$44,$33,$6
averna-amaro,Averna,Amaro,,,Italy,,,Amaro,32.0,,,$57,$22.00,$22,$74,$44,$33,$6
seedlip-spice,Seedlip,Spice,,,England,,,Non-Alcoholic,0.0,,,$58,$22.50,$22,$76,$45,$34,$6
seedlip-garden,Seedlip,Garden,,,England,,,Non-Alcoholic,0.0,,,$58,$22.50,$22,$76,$45,$34,$6
maguey-vida,Del Maguey,Vida,,,Mexico,,,Mezcal,42.0,,,$59,$23.00,$23,$78,$46,$35,$6
palmina-nebbiolo-14,Palmina,,Santa Barbara,California,USA,Nebbiolo,2014,Red,,,95,$61,$24.00,$24,$81,$48,$36,$6
fernet-branca,Fernet,Branca,,,Italy,,,Amaro,39.0,,,$62,$24.25,$24,$82,$49,$37,$6
pinson-foret-16,Domaine Pinson,La Forêt Premier Cru,,Chablis,France,Chardonnay,2016,White,,,45,$63,$24.67,$24,$83,$50,$38,$6
stgeorge-bruto,St. George,Bruto Americano,Alameda,,,,,Apertivo,24.0,,,$62,$24.50,$24,$83,$49,$37,$6
carpano-antica-vermouth,Carpano,Antica Formula Vermouth,,,Italy,,,Vermouth,16.5,,,$64,$25.35,$25,$86,$51,$39,$5
scar-sea-chard-seven-leagues-17,Scar of the Sea,Seven Leagues,Santa Maria Valley,California,USA,Chardonnay,2017,White,,,50,$65,$25.65,$25,$87,$52,$39,$7
suze-apertif,Suze,Apertif,,,France,,,Apertivo,20.0,,,$65,$26.00,$26,$88,$52,$39,$7
teeling-small-batch,Teeling,Small Batch,,,Ireland,,,Irish Whiskey,46.0,,,$66,$26.33,$26,$89,$53,$40,$7
junipero-gin,Junípero,,San Francisco,,,,,Gin,49.3,,,$67,$26.67,$26,$90,$54,$41,$7
lairds-straight-bonded,Laird's,Straight Apple Brandy,,New Jersey,,,,Brandy,50.0,,,$68,$27.00,$27,$91,$54,$41,$7
stgeorge-terroir,St. George,Terroir,Alameda,,,,,Gin,45.0,,,$68,$27.29,$27,$92,$55,$41,$7
stgeorge-botanivore,St. George,Botanivore,Alameda,,,,,Gin,45.0,,,$68,$27.29,$27,$92,$55,$41,$7
aperol-apertivo,Aperol,Apertivo,,,Italy,,,Apertivo,11.0,,,$69,$27.83,$27,$94,$56,$42,$6
ransom-old-tom,Ransom,Old Tom,,Oregon,,,,Gin,44.0,,,$70,$28.00,$28,$95,$56,$42,$7
tesoro-blanco,El Tesoro,Blanco,,,Mexico,,,Tequila,40.0,,,$70,$28.00,$28,$95,$56,$42,$7
ryme-ribolla-16,Ryme Cellars,Vare Vineyard,Napa,California,USA,Ribolla Gialla,2016,White,,,150,$72,$29.00,$29,$98,$58,$44,$7
campari-apertivo,Campari,Apertivo,,,Italy,,,Apertivo,24.0,,,$73,$29.50,$29,$100,$59,$45,$6
tesoro-reposado,El Tesoro,Reposado,,,Mexico,,,Tequila,40.0,,,$74,$30.00,$30,$102,$60,$45,$8
leopold-navy-gin,Leopold,Navy Strength,,Colorado,,,,Gin,57.0,,,$74,$30.33,$30,$103,$61,$46,$8
